	CDN002_Vs_CDN001-U34B_Signal	CDN002_Vs_CDN001-U34B_Detection	CDN002_Vs_CDN001-U34B_Detection p-value	CDN002_Vs_CDN001-U34B_Signal Log Ratio	CDN002_Vs_CDN001-U34B_Change	CDN002_Vs_CDN001-U34B_Change p-value	Descriptions
rc_AA900936_at	110.3	A	0.438361	-0.1	NC	0.507459	rc_AA900936 UI-R-E0-dj-b-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-b-08-0-UI /clone_end=3  /gb=AA900936 /gi=3036290 /ug=Rn.23933 /len=514
rc_AA900943_at	58.7	A	0.849473	0.3	NC	0.500000	rc_AA900943 UI-R-E0-dj-c-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-c-09-0-UI /clone_end=3  /gb=AA900943 /gi=3036297 /ug=Rn.15129 /len=222
rc_AA900944_at	17.2	A	0.918663	0.7	NC	0.033439	rc_AA900944 UI-R-E0-dj-c-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-c-10-0-UI /clone_end=3  /gb=AA900944 /gi=3036298 /ug=Rn.7111 /len=473
rc_AA900949_at	88.7	A	0.378165	1.4	NC	0.105134	rc_AA900949 UI-R-E0-dj-d-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-d-11-0-UI /clone_end=3  /gb=AA900949 /gi=3036303 /ug=Rn.22946 /len=471
rc_AA900967_at	1036.3	P	0.004180	0.0	NC	0.631784	rc_AA900967 UI-R-E0-dj-b-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-b-02-0-UI /clone_end=3  /gb=AA900967 /gi=3036321 /ug=Rn.15133 /len=449
rc_AA900968_at	80.5	A	0.438361	0.3	NC	0.706183	rc_AA900968 UI-R-E0-dj-b-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-b-03-0-UI /clone_end=3  /gb=AA900968 /gi=3036322 /ug=Rn.24116 /len=567
rc_AA900972_at	61.4	A	0.641310	-0.3	NC	0.500000	rc_AA900972 UI-R-E0-dj-c-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-c-01-0-UI /clone_end=3  /gb=AA900972 /gi=3036326 /ug=Rn.7097 /len=314
rc_AA900974_at	34.8	A	0.749276	-0.9	NC	0.077641	rc_AA900974 UI-R-E0-dj-c-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-c-04-0-UI /clone_end=3  /gb=AA900974 /gi=3036328 /ug=Rn.7934 /len=471
rc_AA900974_g_at	25.3	A	0.901946	0.4	NC	0.500000	rc_AA900974 UI-R-E0-dj-c-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-c-04-0-UI /clone_end=3  /gb=AA900974 /gi=3036328 /ug=Rn.7934 /len=471
rc_AA900975_s_at	1850.5	P	0.000322	-0.1	NC	0.957311	rc_AA900975 UI-R-E0-dj-c-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-c-05-0-UI /clone_end=3  /gb=AA900975 /gi=3036329 /ug=Rn.15135 /len=362
rc_AA900976_at	144.9	A	0.581931	-0.2	NC	0.500000	rc_AA900976 UI-R-E0-dj-c-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-c-06-0-UI /clone_end=3  /gb=AA900976 /gi=3036330 /ug=Rn.3154 /len=443
rc_AA900981_at	286.1	M	0.054470	0.0	NC	0.778357	rc_AA900981 UI-R-E0-dj-d-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-d-06-0-UI /clone_end=3  /gb=AA900981 /gi=3036335 /ug=Rn.15136 /len=464
rc_AA900983_at	181.1	A	0.520620	-0.1	NC	0.916778	rc_AA900983 UI-R-E0-dj-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-e-02-0-UI /clone_end=3  /gb=AA900983 /gi=3036337 /ug=Rn.6598 /len=530
rc_AA900984_at	198.8	A	0.060419	0.1	NC	0.500000	rc_AA900984 UI-R-E0-dj-e-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-e-03-0-UI /clone_end=3  /gb=AA900984 /gi=3036338 /ug=Rn.15137 /len=206
rc_AA900990_at	73.0	A	0.910595	0.4	NC	0.500000	rc_AA900990 UI-R-E0-dj-f-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-f-04-0-UI /clone_end=3  /gb=AA900990 /gi=3036344 /ug=Rn.23691 /len=307
rc_AA900991_at	1021.9	P	0.000322	0.0	NC	0.820232	rc_AA900991 UI-R-E0-dj-f-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-f-05-0-UI /clone_end=3  /gb=AA900991 /gi=3036345 /ug=Rn.1855 /len=499
rc_AA900992_at	84.5	A	0.781017	-1.4	NC	0.500000	rc_AA900992 UI-R-E0-dj-g-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-g-01-0-UI /clone_end=3  /gb=AA900992 /gi=3036346 /ug=Rn.2245 /len=353
rc_AA900993_s_at	358.2	P	0.008689	-0.1	NC	0.659602	rc_AA900993 UI-R-E0-dj-g-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-g-02-0-UI /clone_end=3  /gb=AA900993 /gi=3036347 /ug=Rn.3831 /len=368
rc_AA900993_i_at	1990.6	P	0.002228	-0.0	NC	0.737535	rc_AA900993 UI-R-E0-dj-g-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dj-g-02-0-UI /clone_end=3  /gb=AA900993 /gi=3036347 /ug=Rn.3831 /len=368
rc_AA901172_at	954.7	P	0.000322	0.1	NC	0.559457	rc_AA901172 UI-R-E0-dc-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-f-10-0-UI /clone_end=3  /gb=AA901172 /gi=3036526 /ug=Rn.15141 /len=416
rc_AA901174_f_at	566.4	A	0.204022	0.1	NC	0.500000	rc_AA901174 UI-R-E0-dc-f-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-f-12-0-UI /clone_end=3  /gb=AA901174 /gi=3036528 /ug=Rn.15142 /len=146
rc_AA901176_at	99.4	A	0.660442	-1.1	NC	0.772757	rc_AA901176 UI-R-E0-dc-g-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-g-02-0-UI /clone_end=3  /gb=AA901176 /gi=3036530 /ug=Rn.15143 /len=445
rc_AA901178_at	52.9	A	0.641310	-1.3	NC	0.805147	rc_AA901178 UI-R-E0-dc-g-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-g-04-0-UI /clone_end=3  /gb=AA901178 /gi=3036532 /ug=Rn.15144 /len=466
rc_AA901179_at	90.6	A	0.418069	-0.6	NC	0.872989	rc_AA901179 UI-R-E0-dc-g-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-g-05-0-UI /clone_end=3  /gb=AA901179 /gi=3036533 /ug=Rn.15145 /len=381
rc_AA901180_at	10.7	A	0.872355	0.5	NC	0.500000	rc_AA901180 UI-R-E0-dc-g-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-g-07-0-UI /clone_end=3  /gb=AA901180 /gi=3036534 /ug=Rn.22948 /len=380
rc_AA901181_at	68.6	A	0.520620	-0.4	NC	0.891423	rc_AA901181 UI-R-E0-dc-g-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-g-08-0-UI /clone_end=3  /gb=AA901181 /gi=3036535 /ug=Rn.3111 /len=331
rc_AA901183_at	568.3	P	0.003067	-0.4	D	0.999966	rc_AA901183 UI-R-E0-dc-g-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-g-10-0-UI /clone_end=3  /gb=AA901183 /gi=3036537 /ug=Rn.25004 /len=374
rc_AA901184_at	25.6	A	0.918663	-0.9	NC	0.930191	rc_AA901184 UI-R-E0-dc-g-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-g-11-0-UI /clone_end=3  /gb=AA901184 /gi=3036538 /ug=Rn.2045 /len=488
rc_AA901191_at	23.7	A	0.939581	0.4	NC	0.500000	rc_AA901191 UI-R-E0-dc-h-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-h-06-0-UI /clone_end=3  /gb=AA901191 /gi=3036545 /ug=Rn.5835 /len=564
rc_AA901193_at	53.6	A	0.849473	0.3	NC	0.340398	rc_AA901193 UI-R-E0-dc-h-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-dc-h-08-0-UI /clone_end=3  /gb=AA901193 /gi=3036547 /ug=Rn.15148 /len=531
rc_AA942658_at	208.2	A	0.089405	0.0	NC	0.500000	rc_AA942658 EST198156 Rattus norvegicus cDNA, 3  end /clone=RBRAA01 /clone_end=3  /gb=AA942658 /gi=3102574 /ug=Rn.7937 /len=598
rc_AA942662_at	364.1	P	0.000388	-0.2	NC	0.894866	rc_AA942662 EST198160 Rattus norvegicus cDNA, 3  end /clone=RBRAA03 /clone_end=3  /gb=AA942662 /gi=3102578 /ug=Rn.22949 /len=515
rc_AA942670_at	2582.8	P	0.000219	-0.8	D	1.000000	rc_AA942670 EST198169 Rattus norvegicus cDNA, 3  end /clone=RBRAA09 /clone_end=3  /gb=AA942670 /gi=3102586 /ug=Rn.7356 /len=587
rc_AA942681_at	1072.3	P	0.001141	-0.5	D	0.999997	rc_AA942681 EST198180 Rattus norvegicus cDNA, 3  end /clone=RBRAA15 /clone_end=3  /gb=AA942681 /gi=3102597 /ug=Rn.21454 /len=518
rc_AA942683_at	551.7	P	0.007543	-0.3	NC	0.755488	rc_AA942683 EST198182 Rattus norvegicus cDNA, 3  end /clone=RBRAA16 /clone_end=3  /gb=AA942683 /gi=3102599 /ug=Rn.3566 /len=487
rc_AA942690_at	1513.4	P	0.002228	-0.3	NC	0.996252	rc_AA942690 EST198189 Rattus norvegicus cDNA, 3  end /clone=RBRAA22 /clone_end=3  /gb=AA942690 /gi=3102606 /ug=Rn.7938 /len=613
rc_AA942697_at	544.0	P	0.003067	-0.4	D	0.999928	rc_AA942697 EST198196 Rattus norvegicus cDNA, 3  end /clone=RBRAA28 /clone_end=3  /gb=AA942697 /gi=3102613 /ug=Rn.2083 /len=609
rc_AA942704_at	713.1	P	0.002228	-0.2	NC	0.941875	rc_AA942704 EST198203 Rattus norvegicus cDNA, 3  end /clone=RBRAA33 /clone_end=3  /gb=AA942704 /gi=3102620 /ug=Rn.8373 /len=717
rc_AA942706_at	349.8	P	0.000468	-0.5	D	0.999998	rc_AA942706 EST198205 Rattus norvegicus cDNA, 3  end /clone=RBRAA34 /clone_end=3  /gb=AA942706 /gi=3102622 /ug=Rn.6114 /len=580
rc_AA942712_at	93.5	A	0.520620	-0.8	NC	0.996834	rc_AA942712 EST198211 Rattus norvegicus cDNA, 3  end /clone=RBRAA38 /clone_end=3  /gb=AA942712 /gi=3102628 /ug=Rn.22950 /len=620
rc_AA942714_at	23.0	A	0.901946	-0.0	NC	0.544665	rc_AA942714 EST198213 Rattus norvegicus cDNA, 3  end /clone=RBRAA39 /clone_end=3  /gb=AA942714 /gi=3102630 /ug=Rn.7138 /len=595
rc_AA942716_at	938.8	P	0.000468	-0.1	NC	0.977292	rc_AA942716 EST198215 Rattus norvegicus cDNA, 3  end /clone=RBRAA40 /clone_end=3  /gb=AA942716 /gi=3102632 /ug=Rn.1650 /len=588
rc_AA942718_at	502.3	P	0.001602	0.0	NC	0.500000	rc_AA942718 EST198217 Rattus norvegicus cDNA, 3  end /clone=RBRAA42 /clone_end=3  /gb=AA942718 /gi=3102634 /ug=Rn.7941 /len=323
rc_AA942726_at	369.6	A	0.284747	-0.2	NC	0.860937	rc_AA942726 EST198225 Rattus norvegicus cDNA, 3  end /clone=RBRAA46 /clone_end=3  /gb=AA942726 /gi=3102642 /ug=Rn.7395 /len=639
rc_AA942728_at	1362.0	P	0.000219	-0.2	NC	0.996037	rc_AA942728 EST198227 Rattus norvegicus cDNA, 3  end /clone=RBRAA47 /clone_end=3  /gb=AA942728 /gi=3102644 /ug=Rn.22951 /len=526
rc_AA942731_at	1015.4	P	0.000322	-0.3	D	0.999915	rc_AA942731 EST198230 Rattus norvegicus cDNA, 3  end /clone=RBRAA49 /clone_end=3  /gb=AA942731 /gi=3102647 /ug=Rn.7945 /len=589
rc_AA942743_at	52.2	A	0.500000	0.3	NC	0.693175	rc_AA942743 EST198242 Rattus norvegicus cDNA, 3  end /clone=RBRAA57 /clone_end=3  /gb=AA942743 /gi=3102659 /ug=Rn.7232 /len=348
rc_AA942745_at	411.1	P	0.000562	0.5	NC	0.134962	rc_AA942745 EST198244 Rattus norvegicus cDNA, 3  end /clone=RBRAA58 /clone_end=3  /gb=AA942745 /gi=3102661 /ug=Rn.22057 /len=452
rc_AA942759_at	1102.1	P	0.003585	-0.2	NC	0.799953	rc_AA942759 EST198258 Rattus norvegicus cDNA, 3  end /clone=RBRAA67 /clone_end=3  /gb=AA942759 /gi=3102675 /ug=Rn.7446 /len=464
rc_AA942763_at	35.0	A	0.660442	-0.8	NC	0.306825	rc_AA942763 EST198262 Rattus norvegicus cDNA, 3  end /clone=RBRAA70 /clone_end=3  /gb=AA942763 /gi=3102679 /ug=Rn.19979 /len=406
rc_AA942767_at	28.5	A	0.479377	-0.1	NC	0.500000	rc_AA942767 EST198266 Rattus norvegicus cDNA, 3  end /clone=RBRAA76 /clone_end=3  /gb=AA942767 /gi=3102683 /ug=Rn.8243 /len=376
rc_AA942770_at	158.2	P	0.009975	0.1	NC	0.262465	rc_AA942770 EST198269 Rattus norvegicus cDNA, 3  end /clone=RBRAA78 /clone_end=3  /gb=AA942770 /gi=3102686 /ug=Rn.8244 /len=550
rc_AA942774_at	450.5	A	0.081337	-0.1	NC	0.706183	rc_AA942774 EST198273 Rattus norvegicus cDNA, 3  end /clone=RBRAA80 /clone_end=3  /gb=AA942774 /gi=3102690 /ug=Rn.6557 /len=522
rc_AA942776_at	97.4	A	0.715253	0.4	NC	0.500000	rc_AA942776 EST198275 Rattus norvegicus cDNA, 3  end /clone=RBRAA82 /clone_end=3  /gb=AA942776 /gi=3102692 /ug=Rn.7448 /len=339
rc_AA942785_at	35.6	A	0.882840	0.5	NC	0.044415	rc_AA942785 EST198284 Rattus norvegicus cDNA, 3  end /clone=RBRAA91 /clone_end=3  /gb=AA942785 /gi=3102701 /ug=Rn.8245 /len=455
rc_AA942801_at	24.7	A	0.641310	0.5	NC	0.179768	rc_AA942801 EST198300 Rattus norvegicus cDNA, 3  end /clone=RBRAB12 /clone_end=3  /gb=AA942801 /gi=3102717 /ug=Rn.21455 /len=313
rc_AA942845_at	209.4	P	0.017001	-0.1	NC	0.500000	rc_AA942845 EST198344 Rattus norvegicus cDNA, 3  end /clone=RBRAB49 /clone_end=3  /gb=AA942845 /gi=3102761 /ug=Rn.7456 /len=434
rc_AA942848_at	46.7	A	0.458816	0.9	NC	0.340398	rc_AA942848 EST198347 Rattus norvegicus cDNA, 3  end /clone=RBRAB51 /clone_end=3  /gb=AA942848 /gi=3102764 /ug=Rn.7458 /len=479
rc_AA942850_s_at	744.5	P	0.017001	0.2	NC	0.500000	rc_AA942850 EST198349 Rattus norvegicus cDNA, 3  end /clone=RBRAB52 /clone_end=3  /gb=AA942850 /gi=3102766 /ug=Rn.22954 /len=485
rc_AA942904_at	105.3	A	0.397994	-0.3	NC	0.731404	rc_AA942904 EST198403 Rattus norvegicus cDNA, 3  end /clone=RBRAB95 /clone_end=3  /gb=AA942904 /gi=3102820 /ug=Rn.6443 /len=511
rc_AA942906_s_at	192.3	A	0.098054	-0.2	NC	0.500000	rc_AA942906 EST198405 Rattus norvegicus cDNA, 3  end /clone=RBRAB96 /clone_end=3  /gb=AA942906 /gi=3102822 /ug=Rn.260 /len=488
rc_AA942914_at	133.3	A	0.378184	-0.7	NC	0.666430	rc_AA942914 EST198413 Rattus norvegicus cDNA, 3  end /clone=RBRAC07 /clone_end=3  /gb=AA942914 /gi=3102830 /ug=Rn.7465 /len=452
rc_AA942914_g_at	207.3	P	0.027860	0.3	NC	0.300289	rc_AA942914 EST198413 Rattus norvegicus cDNA, 3  end /clone=RBRAC07 /clone_end=3  /gb=AA942914 /gi=3102830 /ug=Rn.7465 /len=452
rc_AA942924_at	1056.4	P	0.001602	-0.1	NC	0.500000	rc_AA942924 EST198423 Rattus norvegicus cDNA, 3  end /clone=RBRAC19 /clone_end=3  /gb=AA942924 /gi=3102840 /ug=Rn.22955 /len=528
rc_AA942929_at	673.9	P	0.003585	0.2	NC	0.500000	rc_AA942929 EST198428 Rattus norvegicus cDNA, 3  end /clone=RBRAC24 /clone_end=3  /gb=AA942929 /gi=3102845 /ug=Rn.8285 /len=373
rc_AA942930_at	121.5	P	0.019304	-0.9	D	0.999689	rc_AA942930 EST198429 Rattus norvegicus cDNA, 3  end /clone=RBRAC25 /clone_end=3  /gb=AA942930 /gi=3102846 /ug=Rn.3410 /len=502
rc_AA942934_at	68.0	A	0.339558	-1.2	NC	0.880608	rc_AA942934 EST198433 Rattus norvegicus cDNA, 3  end /clone=RBRAC30 /clone_end=3  /gb=AA942934 /gi=3102850 /ug=Rn.17861 /len=488
rc_AA942938_at	15.1	A	0.968664	-1.0	NC	0.403969	rc_AA942938 EST198437 Rattus norvegicus cDNA, 3  end /clone=RBRAC35 /clone_end=3  /gb=AA942938 /gi=3102854 /ug=Rn.7469 /len=564
rc_AA942942_s_at	238.0	A	0.339558	-1.4	D	0.998918	rc_AA942942 EST198441 Rattus norvegicus cDNA, 3  end /clone=RBRAC39 /clone_end=3  /gb=AA942942 /gi=3102858 /ug=Rn.7470 /len=508
rc_AA942943_at	84.9	A	0.541184	0.5	NC	0.089099	rc_AA942943 EST198442 Rattus norvegicus cDNA, 3  end /clone=RBRAC40 /clone_end=3  /gb=AA942943 /gi=3102859 /ug=Rn.7471 /len=411
rc_AA942947_at	395.3	P	0.001892	-0.2	NC	0.963681	rc_AA942947 EST198446 Rattus norvegicus cDNA, 3  end /clone=RBRAC44 /clone_end=3  /gb=AA942947 /gi=3102863 /ug=Rn.7472 /len=387
rc_AA942949_at	266.2	A	0.089405	0.3	NC	0.500000	rc_AA942949 EST198448 Rattus norvegicus cDNA, 3  end /clone=RBRAC46 /clone_end=3  /gb=AA942949 /gi=3102865 /ug=Rn.7473 /len=466
rc_AA942958_at	49.2	A	0.795978	-0.8	NC	0.772757	rc_AA942958 EST198457 Rattus norvegicus cDNA, 3  end /clone=RBRAC57 /clone_end=3  /gb=AA942958 /gi=3102874 /ug=Rn.7475 /len=405
rc_AA942959_at	3055.1	P	0.000219	0.0	NC	0.500000	rc_AA942959 EST198458 Rattus norvegicus cDNA, 3  end /clone=RBRAC58 /clone_end=3  /gb=AA942959 /gi=3102875 /ug=Rn.7476 /len=415
rc_AA942961_at	17.2	A	0.781017	-2.4	NC	0.666430	rc_AA942961 EST198460 Rattus norvegicus cDNA, 3  end /clone=RBRAC60 /clone_end=3  /gb=AA942961 /gi=3102877 /ug=Rn.7477 /len=492
rc_AA942964_at	785.3	P	0.001354	0.2	NC	0.652721	rc_AA942964 EST198463 Rattus norvegicus cDNA, 3  end /clone=RBRAC63 /clone_end=3  /gb=AA942964 /gi=3102880 /ug=Rn.3538 /len=474
rc_AA942964_g_at	23.7	A	0.127645	-1.0	NC	0.994204	rc_AA942964 EST198463 Rattus norvegicus cDNA, 3  end /clone=RBRAC63 /clone_end=3  /gb=AA942964 /gi=3102880 /ug=Rn.3538 /len=474
rc_AA942979_at	216.9	A	0.138765	-0.4	NC	0.975199	rc_AA942979 EST198478 Rattus norvegicus cDNA, 3  end /clone=RBRAC80 /clone_end=3  /gb=AA942979 /gi=3102895 /ug=Rn.7482 /len=471
rc_AA942980_at	575.6	P	0.000562	-0.1	NC	0.953803	rc_AA942980 EST198479 Rattus norvegicus cDNA, 3  end /clone=RBRAC81 /clone_end=3  /gb=AA942980 /gi=3102896 /ug=Rn.18598 /len=524
rc_AA942995_at	283.6	A	0.162935	0.1	NC	0.588772	rc_AA942995 EST198494 Rattus norvegicus cDNA, 3  end /clone=RBRAD05 /clone_end=3  /gb=AA942995 /gi=3102911 /ug=Rn.863 /len=461
rc_AA942995_g_at	225.1	A	0.107301	-0.0	NC	0.326797	rc_AA942995 EST198494 Rattus norvegicus cDNA, 3  end /clone=RBRAD05 /clone_end=3  /gb=AA942995 /gi=3102911 /ug=Rn.863 /len=461
rc_AA943004_s_at	271.3	P	0.008689	0.2	NC	0.500000	rc_AA943004 EST198503 Rattus norvegicus cDNA, 3  end /clone=RBRAD24 /clone_end=3  /gb=AA943004 /gi=3102920 /ug=Rn.2009 /len=345
rc_AA943007_at	140.6	A	0.418069	-0.1	NC	0.559457	rc_AA943007 EST198506 Rattus norvegicus cDNA, 3  end /clone=RBRAD27 /clone_end=3  /gb=AA943007 /gi=3102923 /ug=Rn.7485 /len=416
rc_AA943009_at	263.5	A	0.302547	0.4	NC	0.326797	rc_AA943009 EST198508 Rattus norvegicus cDNA, 3  end /clone=RBRAD40 /clone_end=3  /gb=AA943009 /gi=3102925 /ug=Rn.22053 /len=535
rc_AA943010_at	4703.1	P	0.000266	0.0	NC	0.559457	rc_AA943010 EST198509 Rattus norvegicus cDNA, 3  end /clone=RBRAD44 /clone_end=3  /gb=AA943010 /gi=3102926 /ug=Rn.7784 /len=578
rc_AA943011_at	420.1	P	0.004180	-0.1	NC	0.907849	rc_AA943011 EST198510 Rattus norvegicus cDNA, 3  end /clone=RBRAD46 /clone_end=3  /gb=AA943011 /gi=3102927 /ug=Rn.2637 /len=595
rc_AA943015_at	417.3	P	0.000266	-0.4	NC	0.976265	rc_AA943015 EST198514 Rattus norvegicus cDNA, 3  end /clone=RBRAD56 /clone_end=3  /gb=AA943015 /gi=3102931 /ug=Rn.4069 /len=601
rc_AA943015_g_at	883.2	P	0.003585	-0.1	NC	0.860937	rc_AA943015 EST198514 Rattus norvegicus cDNA, 3  end /clone=RBRAD56 /clone_end=3  /gb=AA943015 /gi=3102931 /ug=Rn.4069 /len=601
rc_AA943016_at	549.6	P	0.002228	0.1	NC	0.500000	rc_AA943016 EST198515 Rattus norvegicus cDNA, 3  end /clone=RBRAD57 /clone_end=3  /gb=AA943016 /gi=3102932 /ug=Rn.13608 /len=522
rc_AA943020_at	412.9	P	0.003585	-0.3	D	0.999986	rc_AA943020 EST198519 Rattus norvegicus cDNA, 3  end /clone=RBRAD75 /clone_end=3  /gb=AA943020 /gi=3102936 /ug=Rn.7486 /len=546
rc_AA943021_at	39.4	A	0.960635	0.7	NC	0.069809	rc_AA943021 EST198520 Rattus norvegicus cDNA, 3  end /clone=RBRAD77 /clone_end=3  /gb=AA943021 /gi=3102937 /ug=Rn.24318 /len=666
rc_AA943024_at	26.2	A	0.892699	-1.7	NC	0.500000	rc_AA943024 EST198523 Rattus norvegicus cDNA, 3  end /clone=RBRAD81 /clone_end=3  /gb=AA943024 /gi=3102940 /ug=Rn.7487 /len=500
rc_AA943025_at	123.3	A	0.378184	-0.3	NC	0.500000	rc_AA943025 EST198524 Rattus norvegicus cDNA, 3  end /clone=RBRAD86 /clone_end=3  /gb=AA943025 /gi=3102941 /ug=Rn.22958 /len=625
rc_AA943027_at	34.5	A	0.581931	0.5	NC	0.500000	rc_AA943027 EST198526 Rattus norvegicus cDNA, 3  end /clone=RBRAD90 /clone_end=3  /gb=AA943027 /gi=3102943 /ug=Rn.7488 /len=572
rc_AA943028_at	361.7	P	0.027860	0.0	NC	0.500000	rc_AA943028 EST198527 Rattus norvegicus cDNA, 3  end /clone=RBRAD91 /clone_end=3  /gb=AA943028 /gi=3102944 /ug=Rn.17262 /len=596
rc_AA943029_at	279.7	P	0.017001	-0.1	NC	0.666430	rc_AA943029 EST198528 Rattus norvegicus cDNA, 3  end /clone=RBRAD92 /clone_end=3  /gb=AA943029 /gi=3102945 /ug=Rn.8044 /len=615
rc_AA943036_at	281.9	M	0.048995	-0.1	NC	0.500000	rc_AA943036 EST198535 Rattus norvegicus cDNA, 3  end /clone=RBRAE07 /clone_end=3  /gb=AA943036 /gi=3102952 /ug=Rn.23805 /len=513
rc_AA943036_g_at	179.3	A	0.175989	-0.3	NC	0.500000	rc_AA943036 EST198535 Rattus norvegicus cDNA, 3  end /clone=RBRAE07 /clone_end=3  /gb=AA943036 /gi=3102952 /ug=Rn.23805 /len=513
rc_AA943039_at	308.0	P	0.017001	-0.3	D	0.998848	rc_AA943039 EST198538 Rattus norvegicus cDNA, 3  end /clone=RBRAE10 /clone_end=3  /gb=AA943039 /gi=3102955 /ug=Rn.17263 /len=446
rc_AA943040_at	145.4	P	0.007543	0.2	NC	0.210683	rc_AA943040 EST198539 Rattus norvegicus cDNA, 3  end /clone=RBRAE12 /clone_end=3  /gb=AA943040 /gi=3102956 /ug=Rn.3316 /len=440
rc_AA943042_at	1103.9	P	0.011447	0.1	NC	0.500000	rc_AA943042 EST198541 Rattus norvegicus cDNA, 3  end /clone=RBRAE14 /clone_end=3  /gb=AA943042 /gi=3102958 /ug=Rn.845 /len=462
rc_AA943047_at	739.7	P	0.008689	-0.1	NC	0.794676	rc_AA943047 EST198546 Rattus norvegicus cDNA, 3  end /clone=RBRAE21 /clone_end=3  /gb=AA943047 /gi=3102963 /ug=Rn.22959 /len=477
rc_AA943049_at	344.2	P	0.002228	0.3	NC	0.500000	rc_AA943049 EST198548 Rattus norvegicus cDNA, 3  end /clone=RBRAE24 /clone_end=3  /gb=AA943049 /gi=3102965 /ug=Rn.7491 /len=237
rc_AA943054_at	249.7	M	0.054470	-0.3	NC	0.975199	rc_AA943054 EST198553 Rattus norvegicus cDNA, 3  end /clone=RBRAE31 /clone_end=3  /gb=AA943054 /gi=3102970 /ug=Rn.24654 /len=457
rc_AA943056_at	311.3	P	0.000322	-0.4	NC	0.913877	rc_AA943056 EST198555 Rattus norvegicus cDNA, 3  end /clone=RBRAE33 /clone_end=3  /gb=AA943056 /gi=3102972 /ug=Rn.22960 /len=506
rc_AA943066_at	383.9	P	0.031336	0.3	NC	0.500000	rc_AA943066 EST198565 Rattus norvegicus cDNA, 3  end /clone=RBRAE45 /clone_end=3  /gb=AA943066 /gi=3102982 /ug=Rn.7495 /len=492
rc_AA943066_g_at	616.3	P	0.000322	-0.0	NC	0.500000	rc_AA943066 EST198565 Rattus norvegicus cDNA, 3  end /clone=RBRAE45 /clone_end=3  /gb=AA943066 /gi=3102982 /ug=Rn.7495 /len=492
rc_AA943092_at	1031.2	P	0.003067	0.2	NC	0.500000	rc_AA943092 EST198591 Rattus norvegicus cDNA, 3  end /clone=RBRAE96 /clone_end=3  /gb=AA943092 /gi=3103008 /ug=Rn.7501 /len=385
rc_AA943094_at	10.9	A	0.358690	-1.4	NC	0.500000	rc_AA943094 EST198593 Rattus norvegicus cDNA, 3  end /clone=RBRAF02 /clone_end=3  /gb=AA943094 /gi=3103010 /ug=Rn.17264 /len=603
rc_AA943095_at	147.6	A	0.378184	-1.0	NC	0.500000	rc_AA943095 EST198594 Rattus norvegicus cDNA, 3  end /clone=RBRAF04 /clone_end=3  /gb=AA943095 /gi=3103011 /ug=Rn.7234 /len=549
