	CDN002_Vs_CDN001-U34A_Signal	CDN002_Vs_CDN001-U34A_Detection	CDN002_Vs_CDN001-U34A_Detection p-value	CDN002_Vs_CDN001-U34A_Signal Log Ratio	CDN002_Vs_CDN001-U34A_Change	CDN002_Vs_CDN001-U34A_Change p-value	Descriptions
rc_AI227887_at	151.7	P	0.039365	-0.3	NC	0.500000	rc_AI227887 EST224582 Rattus norvegicus cDNA, 3  end /clone=RBRCN15 /clone_end=3  /gb=AI227887 /ug=Rn.8112 /len=608
rc_AI227887_g_at	1008.9	P	0.000219	0.1	NC	0.500000	rc_AI227887 EST224582 Rattus norvegicus cDNA, 3  end /clone=RBRCN15 /clone_end=3  /gb=AI227887 /ug=Rn.8112 /len=608
rc_AA893822_at	55.1	A	0.162935	-0.2	NC	0.500000	rc_AA893822 EST197625 Rattus norvegicus cDNA, 3  end /clone=RPLAM02 /clone_end=3  /gb=AA893822 /gi=3020701 /ug=Rn.8154 /len=467
rc_AI172452_at	1187.6	P	0.000562	0.0	NC	0.500000	rc_AI172452 EST218462 Rattus norvegicus cDNA, 3  end /clone=RMUCA04 /clone_end=3  /gb=AI172452 /gi=3712492 /ug=Rn.8363 /len=557
rc_AA859957_at	1984.7	P	0.000388	-0.2	NC	0.500000	rc_AA859957 UI-R-E0-ca-f-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E0-ca-f-05-0-UI /clone_end=3  /gb=AA859957 /gi=2949477 /ug=Rn.842 /len=463
rc_AA943387_at	198.8	M	0.048995	0.1	NC	0.789317	rc_AA943387 EST198886 Rattus norvegicus cDNA, 3  end /clone=RBRAI91 /clone_end=3  /gb=AA943387 /gi=3103303 /ug=Rn.8446 /len=408
rc_AI178267_at	17.3	A	0.479380	0.3	NC	0.333570	rc_AI178267 EST221933 Rattus norvegicus cDNA, 3  end /clone=RPLCO32 /clone_end=3  /gb=AI178267 /ug=Rn.8478 /len=545
rc_AI178267_g_at	98.9	A	0.267463	-0.9	NC	0.725202	rc_AI178267 EST221933 Rattus norvegicus cDNA, 3  end /clone=RPLCO32 /clone_end=3  /gb=AI178267 /ug=Rn.8478 /len=545
rc_AI236597_at	126.7	A	0.117160	-0.2	NC	0.894866	rc_AI236597 EST233159 Rattus norvegicus cDNA, 3  end /clone=ROVDI17 /clone_end=3  /gb=AI236597 /ug=Rn.8478 /len=646
rc_AA956114_at	355.5	P	0.000219	-0.1	NC	0.500000	rc_AA956114 UI-R-E1-fi-f-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-fi-f-02-0-UI /clone_end=3  /gb=AA956114 /ug=Rn.8585 /len=337
rc_AI171243_at	48.4	A	0.107263	1.5	NC	0.500000	rc_AI171243 EST217198 Rattus norvegicus cDNA, 3  end /clone=RMUBI06 /clone_end=3  /gb=AI171243 /gi=3711283 /ug=Rn.8686 /len=631
rc_AA955477_at	51.9	A	0.541184	-0.3	NC	0.500000	rc_AA955477 UI-R-A1-ex-f-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A1-ex-f-01-0-UI /clone_end=3  /gb=AA955477 /ug=Rn.8789 /len=394
rc_AA955477_g_at	197.0	P	0.019304	-0.2	NC	0.500000	rc_AA955477 UI-R-A1-ex-f-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-A1-ex-f-01-0-UI /clone_end=3  /gb=AA955477 /ug=Rn.8789 /len=394
rc_AI011376_at	51.3	A	0.339558	-0.6	NC	0.500000	rc_AI011376 EST205827 Rattus norvegicus cDNA, 3  end /clone=ROVAU08 /clone_end=3  /gb=AI011376 /ug=Rn.8789 /len=424
rc_AI229421_at	151.8	A	0.458816	-0.5	NC	0.944016	rc_AI229421 EST226116 Rattus norvegicus cDNA, 3  end /clone=REMCG14 /clone_end=3  /gb=AI229421 /ug=Rn.8789 /len=542
rc_AI171166_at	205.1	P	0.000468	0.0	NC	0.500000	rc_AI171166 EST217115 Rattus norvegicus cDNA, 3  end /clone=RMUBH05 /clone_end=3  /gb=AI171166 /gi=3711206 /ug=Rn.8796 /len=462
rc_AI104520_s_at	6070.6	P	0.000219	0.2	NC	0.005796	rc_AI104520 EST213809 Rattus norvegicus cDNA, 3  end /clone=RHECE58 /clone_end=3  /gb=AI104520 /gi=3708862 /ug=Rn.880 /len=532
rc_AI230294_at	370.2	M	0.054470	-0.2	NC	0.500000	rc_AI230294 EST226989 Rattus norvegicus cDNA, 3  end /clone=REMCU69 /clone_end=3  /gb=AI230294 /ug=Rn.8864 /len=411
rc_AI102620_at	102.4	A	0.098054	-0.7	NC	0.679919	rc_AI102620 EST211909 Rattus norvegicus cDNA, 3  end /clone=REMBQ09 /clone_end=3  /gb=AI102620 /gi=3707344 /ug=Rn.9056 /len=522
rc_AI009098_at	570.2	P	0.011447	0.4	NC	0.003351	rc_AI009098 EST203549 Rattus norvegicus cDNA, 3  end /clone=REMBI58 /clone_end=3  /gb=AI009098 /ug=Rn.983 /len=549
rc_AI014020_f_at	23.1	A	0.621816	-0.2	NC	0.500000	rc_AI014020 EST207575 Rattus norvegicus cDNA, 3  end /clone=RSPBD39 /clone_end=3  /gb=AI014020 /ug=Rn.989 /len=475
rc_AA852056_at	8.1	A	0.810313	-0.3	NC	0.320081	rc_AA852056 EST49-15MR Rattus norvegicus cDNA, 3  end /clone=pBS/49i2-15 /clone_end=3  /gb=AA852056 /ug=Rn.989 /len=492
rc_AI231354_at	142.6	P	0.001602	-0.2	NC	0.500000	rc_AI231354 EST228042 Rattus norvegicus cDNA, 3  end /clone=REMDJ02 /clone_end=3  /gb=AI231354 /ug=Rn.9910 /len=521
rc_AI231354_g_at	221.7	P	0.001354	-0.3	NC	0.500000	rc_AI231354 EST228042 Rattus norvegicus cDNA, 3  end /clone=REMDJ02 /clone_end=3  /gb=AI231354 /ug=Rn.9910 /len=521
Y15068_at	416.1	P	0.000266	0.1	NC	0.287410	Y15068 RNRNAHOP Rattus norvegicus mRNA for Hsp70/Hsp90 organizing protein
AB002111_at	61.0	M	0.048995	-0.3	NC	0.686578	AB002111 Rattus norvegicus mRNA for peroxisome assembly factor-3 (PAF-3), complete cds
AB008423_s_at	78.9	A	0.458816	-0.3	NC	0.500000	AB008423 Rattus norvegicus mRNA for CYP2D2, complete cds
AB008424_s_at	73.7	A	0.418069	0.5	NC	0.500000	AB008424 Rattus norvegicus mRNA for CYP2D3, complete cds
AB010428_s_at	36.5	A	0.520620	-0.6	NC	0.500000	AB010428 Rattus norvegicus mRNA for acyl-CoA hydrolase, complete cds
AB010429_s_at	62.0	A	0.378184	0.3	NC	0.210683	AB010429 Rattus norvegicus mRNA for acyl-CoA hydrolase-like protein, partial cds
AB010466_s_at	327.4	A	0.073830	0.2	NC	0.447930	AB010466 Rattus norvegicus mRNA for multidrug resistance-associated protein (MRP)-like protein-1 (MLP-1), complete cds
AB010467_s_at	75.2	A	0.189687	0.4	NC	0.500000	AB010467 Rattus norvegicus mRNA for multidrug resistance-associated protein (MRP)-like protein-2 (MLP-2), complete cds
AB010635_s_at	54.8	A	0.358690	-0.6	NC	0.939670	AB010635 Rattus norvegicus mRNA for carboxylesterase precursor, complete cds
AB011365_s_at	16.5	A	0.795978	-1.6	NC	0.500000	AB011365 Rattus norvegicus mRNA for PPAR-gamma protein, complete cds
AB016800_at	239.2	P	0.021866	0.1	NC	0.500000	AB016800 Rattus norvegicus mRNA for 7-dehydrocholesterol reductase, complete cds
AB016800_g_at	232.1	P	0.035163	-0.4	NC	0.500000	AB016800 Rattus norvegicus mRNA for 7-dehydrocholesterol reductase, complete cds
AF000139_s_at	91.0	A	0.107301	-0.1	NC	0.500000	AF000139 RNAF000139 Rattus norvegicus 25-hydroxyvitamin D 1-hydroxylase (CYP1) mRNA, complete cds
AF003523_s_at	168.9	A	0.234557	0.2	NC	0.500000	AF003523 Rattus norvegicus Bcl-2 associated death promoter (BAD) mRNA, complete cds
AF010466_s_at	9.5	A	0.765443	-0.1	NC	0.500000	AF010466 Rattus norvegicus interferon gamma (IFN-gamma) mRNA, complete cds
AF013248_at	10.4	A	0.697453	-0.1	NC	0.500000	AF013248 Rattus norvegicus beta-A3 crystallin (beta-A3) mRNA, partial cds
AF015719_s_at	19.7	A	0.561639	0.9	NC	0.898230	AF015719 Rattus norvegicus interleukin-15 (IL-15) mRNA, complete cds
AF016702mRNA_at	29.4	A	0.749276	-0.3	NC	0.500000	AF016702mRNA Rattus norvegicus pituitary glycoprotein hormone alpha-subunit gene, 5  sequence
AF025670_at	11.9	A	0.901946	-0.1	NC	0.287410	AF025670 Rattus norvegicus caspase 6 (Mch2) mRNA, complete cds
AF025670_g_at	42.1	A	0.520620	0.6	NC	0.500000	AF025670 Rattus norvegicus caspase 6 (Mch2) mRNA, complete cds
AF027954_at	227.4	A	0.162935	0.5	NC	0.293817	AF027954 Rattus norvegicus Bcl-2-related ovarian killer protein (Bok) mRNA, complete cds
AF027954_g_at	510.9	A	0.060419	0.2	NC	0.389553	AF027954 Rattus norvegicus Bcl-2-related ovarian killer protein (Bok) mRNA, complete cds
AF030558_at	367.4	P	0.008689	-0.2	NC	0.500000	AF030558 Rattus norvegicus phosphatidylinositol 5-phosphate 4-kinase gamma mRNA, complete cds
AF031657mRNA_at	173.5	A	0.073830	0.2	NC	0.500000	AF031657mRNA Rattus norvegicus zinc-finger protein 94 (Zfp94) gene, partial cds
AF033355_at	110.4	A	0.541184	0.0	NC	0.500000	AF033355 Rattus norvegicus phosphatidylinositol 5-phosphate 4-kinase beta mRNA, complete cds
AF034716mRNA_at	28.2	A	0.918663	-0.2	NC	0.500000	AF034716mRNA Rattus norvegicus CCAAT/enhancer binding protein epsilon (cebpe) gene, complete cds
AF038388_at	94.8	M	0.054470	-0.0	NC	0.761321	AF038388 Rattus norvegicus actin-filament binding protein Frabin mRNA, complete cds
AF043642_at	56.2	A	0.081337	0.1	NC	0.500000	AF043642 Rattus norvegicus matrin cyclophilin (matrin-cyp) mRNA, complete cds
AF045464_s_at	136.6	P	0.007543	0.1	NC	0.500000	AF045464 Rattus norvegicus aflatoxin B1 aldehyde reductase (AFAR) mRNA, complete cds
AF048687_s_at	730.3	P	0.000562	0.2	NC	0.053906	AF048687 Rattus norvegicus UDP-Gal:glucosylceramide beta-1,4-galactosyltransferase mRNA, complete cds
AF051943_at	63.1	A	0.418069	0.1	NC	0.500000	AF051943 Rattus norvegicus type 6 nucleoside diphosphate kinase NM23-R6 (Nm23-R6) mRNA, partial cds
AF051943_g_at	22.4	A	0.882840	-0.1	NC	0.492541	AF051943 Rattus norvegicus type 6 nucleoside diphosphate kinase NM23-R6 (Nm23-R6) mRNA, partial cds
AF055292mRNA_at	76.7	A	0.284747	-0.3	NC	0.500000	AF055292mRNA Rattus norvegicus signal transducer and activator of transcription 6 (stat6) gene, partial cds
AF065431_s_at	9.1	A	0.837065	-0.3	NC	0.500000	AF065431 Rattus norvegicus Bcl-2 related ovarian death gene product BOD mRNA, complete cds
AF065432_s_at	55.4	A	0.641310	0.3	NC	0.507459	AF065432 Rattus norvegicus Bcl-2 related ovarian death gene product BOD-M mRNA, complete cds
AF065433_at	204.6	A	0.081337	-0.1	NC	0.500000	AF065433 Rattus norvegicus Bcl-2 related ovarian death gene product BOD-L mRNA, complete cds
AF065433_g_at	6.0	A	0.972140	0.0	NC	0.500000	AF065433 Rattus norvegicus Bcl-2 related ovarian death gene product BOD-L mRNA, complete cds
AF067727_s_at	14.3	A	0.660442	-1.0	NC	0.500000	AF067727 Rattus norvegicus Smad1 protein (Smad1) mRNA, complete cds
AF071225_at	250.2	P	0.003067	-0.2	NC	0.500000	AF071225 Rattus norvegicus cyclophilin B mRNA, complete cds
AF072439_at	64.4	A	0.066865	-0.3	NC	0.500000	AF072439 Rattus norvegicus zinc-finger protein-37 mRNA, complete cds
AF072865_at	169.6	A	0.500000	-0.5	NC	0.574166	AF072865 Rattus norvegicus thioredoxin reductase (TrxR2) mRNA, nuclear gene encoding mitochondrial protein, complete cds
AF072865_g_at	118.4	A	0.397994	-0.3	NC	0.500000	AF072865 Rattus norvegicus thioredoxin reductase (TrxR2) mRNA, nuclear gene encoding mitochondrial protein, complete cds
AF081503_at	4.8	A	0.939581	-0.1	NC	0.492541	AF081503 Rattus norvegicus inhibitor of apoptosis protein (rIAP1) mRNA, partial cds
AF084205_at	303.7	P	0.027860	-0.2	NC	0.500000	AF084205 Rattus norvegicus serine/threonine protein kinase TAO1 mRNA, complete cds
AF090867_at	120.6	P	0.031336	0.2	NC	0.500000	AF090867 Rattus norvegicus guanosine monophosphate reductase mRNA, complete cds
AF090867_g_at	261.2	P	0.014937	-0.1	NC	0.500000	AF090867 Rattus norvegicus guanosine monophosphate reductase mRNA, complete cds
AF096291_at	273.2	P	0.021866	0.2	NC	0.500000	AF096291 Rattus norvegicus Bcl-w (bcl-w) mRNA, complete cds
AF097887_at	47.1	A	0.520620	-0.3	NC	0.500000	AF097887 Rattus norvegicus Chp mRNA, complete cds
AJ002942cds_at	23.9	A	0.795978	-0.0	NC	0.389553	AJ002942cds RNAJ2942 Rattus norvegicus mRNA for retinoic acid receptor beta2, partial
AJ005424_at	38.0	A	0.732537	-0.0	NC	0.500000	AJ005424 RNAJ5424 Rattus norvegicus mRNA for BMK1/ERK5 protein, partial
AJ005424_g_at	28.6	A	0.810313	-0.3	NC	0.559457	AJ005424 RNAJ5424 Rattus norvegicus mRNA for BMK1/ERK5 protein, partial
AJ005425_at	295.0	A	0.284747	-0.2	NC	0.500000	AJ005425 RNAJ5425 Rattus norvegicus mRNA for MEF2D protein
AJ006070_at	9.9	A	0.901946	-0.4	NC	0.755488	AJ006070 RNO6070 Rattus norvegicus mRNA for recombination activation protein (RAG1), partial
AJ222691cds_at	64.5	A	0.561639	1.3	NC	0.500000	AJ222691cds RNDPDELTA Rattus norvegicus mRNA for DNA polymerase delta, catalytic subunit
AJ222813_s_at	71.1	A	0.189687	0.2	NC	0.581483	AJ222813 RNAJ813 Rattus norvegicus mRNA for precursor interleukin 18 (IL-18), complete cds
AJ223083_at	22.3	A	0.892699	-0.2	NC	0.500000	AJ223083 RAN223083 Rattus norvegicus mRNA for retinoic acid X receptor gamma-1, partial
AJ224441UTR#1_at	16.2	A	0.697453	0.3	NC	0.485084	AJ224441UTR#1 RNAJ4441 Rattus norvegicus unknown mRNA upregulated during prostatic apoptosis, 3 UTR, partial
C06598_at	731.3	P	0.000673	0.1	NC	0.347279	C06598 C06598 Rat pancreatic islet cDNA Rattus norvegicus cDNA similar to rapamycin-binding protein FKBp-13, mRNA sequence [Rattus norvegicus]
C07012_f_at	307.7	A	0.189687	-0.1	NC	0.500000	C07012 C07012 Rat pancreatic islet cDNA Rattus norvegicus cDNA similar to cyclophilin c, mRNA sequence [Rattus norvegicus]
D00403_at	93.2	A	0.541184	0.4	NC	0.500000	D00403 RATIL1A Rat interleukin-1 alpha mRNA, complete cds
D00403_g_at	16.0	A	0.621816	0.1	NC	0.500000	D00403 RATIL1A Rat interleukin-1 alpha mRNA, complete cds
D00568_s_at	222.1	A	0.066865	0.3	NC	0.101770	D00568 RATCP11BV Rattus norvegicus mRNA for cytochrome P-450 11beta, variant precursor, complete cds
D00636Poly_A_Site#1_s_at	631.4	P	0.000562	0.3	I	0.000010	D00636Poly_Aite#1 RATB5RM Rattus sp. mRNA for NADH-cytochrome b5 reductase, complete cds
D00688_s_at	331.1	P	0.000266	-0.3	NC	0.673203	D00688 RATMAOA Rat monoamine oxidase A gene, complete cds
D10026_s_at	99.5	A	0.060419	-0.3	NC	0.673203	D10026 RATGSTYRS Rattus norvegicus mRNA for glutathione S-transferase Yrs-Yrs, complete cds
D11354_s_at	22.4	A	0.458816	-1.7	NC	0.944016	D11354 RATCYPXIB2 Rattus norvegicus mRNA for cytochrome P-450-11beta, complete cds
D12498_s_at	345.3	P	0.027860	-0.2	NC	0.500000	D12498 RATFGFR1 Rat mRNA for FGF receptor-1, complete cds
D13912_s_at	50.6	A	0.267463	0.6	NC	0.333570	D13912 RATP450 Rat mRNA for cytochrome P-450
D14013_at	17.2	A	0.479380	-0.5	NC	0.829869	D14013 RATCYCLC Rat mRNA for cyclin C, complete cds
D14014_at	222.3	P	0.005643	-0.0	NC	0.500000	D14014 RATCYCLD1 Rat mRNA for cyclin D1, complete cds
D14014_g_at	167.9	A	0.089405	0.3	NC	0.500000	D14014 RATCYCLD1 Rat mRNA for cyclin D1, complete cds
D14015_at	262.0	M	0.054470	0.0	NC	0.500000	D14015 RATCYCLE Rat mRNA for cyclin E, complete cds
D14015_g_at	155.9	P	0.019304	-0.5	NC	0.500000	D14015 RATCYCLE Rat mRNA for cyclin E, complete cds
D14045_s_at	24.7	A	0.641310	-0.4	NC	0.500000	D14045 RATDT2A Rat mRNA for DNA topoisomerase IIA, partial sequence
D14046_at	45.6	A	0.066865	-0.8	NC	0.500000	D14046 RATDT2B Rat mRNA for DNA topoisomerase IIB, partial sequence
D14564cds_s_at	13.6	A	0.837065	-1.3	NC	0.500000	D14564cds RATGULO07 Rat gene for L-gulono-gamma-lactone oxidase, exon 7
D14591_s_at	840.8	P	0.003067	0.1	NC	0.250422	D14591 RATMEK1 Rat mRNA for MAP kinase kinase, complete cds
D14987_f_at	40.0	A	0.397994	1.0	NC	0.500000	D14987 RATHSS1 Rat mRNA for hydroxysteroid sulfotransferase subunit, complete cds
D16308_at	352.6	A	0.089405	-0.3	NC	0.699711	D16308 RATCLND2 Rat mRNA for cyclin D2, complete cds
D16309_at	239.3	A	0.081337	0.2	NC	0.500000	D16309 RATCLND3 Rat mRNA for cyclin D3, complete cds
D16309_g_at	470.1	P	0.003585	-0.1	NC	0.500000	D16309 RATCLND3 Rat mRNA for cyclin D3, complete cds
D17310_s_at	70.5	M	0.048995	-0.3	NC	0.500000	D17310 RATS3AD Rat mRNA for steroid 3-alpha-dehydrogenase, complete cds
D17349cds_f_at	141.2	A	0.107301	-0.5	NC	0.904720	D17349cds RATCYP6 Rat cytochrome P450 2B15 gene, exon 9
D21799_at	326.2	P	0.002617	-0.1	NC	0.500000	D21799 RATPSRC7I Rat mRNA for proteasome subunit RC7-I, complete cds
D21799_g_at	792.5	P	0.000388	-0.2	NC	0.869055	D21799 RATPSRC7I Rat mRNA for proteasome subunit RC7-I, complete cds
D25233UTR#1_at	20.6	A	0.378184	0.8	NC	0.500000	D25233UTR#1 RATRP Rat mRNA for retinoblastoma protein, partial sequence
D25233UTR#1_g_at	104.8	P	0.016986	-0.1	NC	0.500000	D25233UTR#1 RATRP Rat mRNA for retinoblastoma protein, partial sequence
D26112_s_at	3.4	A	0.996933	-0.4	NC	0.617600	D26112 RATFASAA Rat mRNA for Fas antigen
D26307cds_at	6.5	A	0.983000	-0.2	NC	0.603256	D26307cds RATJUND Rat jun-D gene, complete cds
D28754_s_at	8.2	A	0.918663	-0.2	NC	0.500000	D28754 RATCDK2B Rat mRNA for cyclin dependent kinase 2-beta
D31838_at	70.8	A	0.066865	-0.5	NC	0.755488	D31838 RATWEE1 Rat mRNA for wee1 tyrosine kinase, complete cds
D38380_at	2156.2	P	0.000562	0.1	NC	0.227243	D38380 RATTA Rattus norvegicus mRNA for transferrin, complete cds
D38380_g_at	2317.7	P	0.000322	0.1	NC	0.216123	D38380 RATTA Rattus norvegicus mRNA for transferrin, complete cds
D38381_s_at	6.2	A	0.849473	-0.3	NC	0.470189	D38381 Rattus norvegicus mRNA for P450 6beta-2, complete cds
D42145_at	70.4	A	0.175989	0.2	NC	0.189741	D42145 RATUKATP1 Rat mRNA for ATP-sensitive potasium channel uKATP-1, complete cds
D42156cds_at	32.1	A	0.621816	-0.1	NC	0.051889	D42156cds RATAD4BP6 Rattus norvegicus gene for Ad4BP, exon 7 and complete cds
D44495_s_at	547.1	P	0.000219	0.1	NC	0.500000	D44495 RATAPEXN Rat adult brain mRNA for APEX nuclease, complete cds
D44591_s_at	10.0	A	0.697453	-0.2	NC	0.500000	D44591 RATNWUT Rat mRNA for inducible nitric oxide synthase, complete cds
D49785_at	418.3	P	0.000266	0.1	NC	0.500000	D49785 RATPK Rattus norvegicus mRNA for protein kinase (MUK), complete cds
D64045_s_at	33.0	A	0.397994	1.0	NC	0.108577	D64045 RATPI3KA Rat mRNA for phosphatidylinositol 3-kinase p85 alpha subunit, complete cds
D83796_s_at	159.5	A	0.150527	0.8	NC	0.500000	D83796 Rat UGT1 mRNA for UDP-glucuronosyltransferase, complete cds
D84346_s_at	1977.8	P	0.000219	0.0	NC	0.500000	D84346 RATNAP1P Rattus norvegicus mRNA for Nap1 protein, partial cds
D84667_at	247.4	P	0.005643	0.1	NC	0.500000	D84667 Rattus norvegicus mRNA for phosphatidylinositol 4-kinase, complete cds
D84667_g_at	56.7	A	0.660442	-1.5	NC	0.500000	D84667 Rattus norvegicus mRNA for phosphatidylinositol 4-kinase, complete cds
D85035_at	65.4	A	0.520620	1.0	NC	0.500000	D85035 Rattus norvegicus mRNA for dihydropyrimidine dehydrogenase, complete cds
D85035_g_at	16.5	A	0.621816	-0.5	NC	0.470189	D85035 Rattus norvegicus mRNA for dihydropyrimidine dehydrogenase, complete cds
D86086_s_at	53.1	A	0.621816	0.9	NC	0.500000	D86086 Rat mRNA for canalicular multispecific organic anion transporter(cMOAT), complete cds
D86641_at	2274.9	P	0.000388	0.1	NC	0.500000	D86641 Rattus norvegicus mRNA for FK506-binding protein 12, complete cds
D86642_at	102.2	A	0.175989	-0.3	NC	0.500000	D86642 Rattus norvegicus mRNA for FK506-binding protein 12.6, complete cds
D87336_at	166.1	A	0.138765	-0.3	NC	0.820232	D87336 Rattus sp. mRNA for bleomycin hydrolase, complete cds
D87336_g_at	402.0	P	0.008689	-0.1	NC	0.500000	D87336 Rattus sp. mRNA for bleomycin hydrolase, complete cds
D89069_f_at	187.7	P	0.027860	0.1	NC	0.500000	D89069 Rattus norvegicus mRNA for inducible carbonyl reductase, complete cds
D89070cds_s_at	207.4	A	0.117160	-0.1	NC	0.500000	D89070cds Rattus norvegicus DNA for non-inducible carbony reductase, complete cds
D90048exon_at	78.1	A	0.500000	-0.6	NC	0.898230	D90048exon RATATPB2S Rat Na+, K+ -ATPase (EC 3.6.1.3) beta2 subunit gene and 5  flank
D90048exon_g_at	215.2	P	0.009985	-0.1	NC	0.500000	D90048exon RATATPB2S Rat Na+, K+ -ATPase (EC 3.6.1.3) beta2 subunit gene and 5  flank
D90049exon#1-2_at	171.8	A	0.267463	0.3	NC	0.500000	D90049exon#1-2 RATATPA2S Rat Na+, K+ -ATPase (EC 3.6.1.3) alpha2 subunit gene and 5  flank
D90102_s_at	1.3	A	0.990015	-1.4	NC	0.500000	D90102 RATHGF Rat hepatocyte growth factor mRNA
E00717UTR#1_s_at	91.7	M	0.054470	-0.7	D	0.999966	E00717UTR#1 cDNA encoding chytochrome P-450 from Rat Liver
E00778cds_s_at	8.4	A	0.824011	-0.3	NC	0.210683	E00778cds Rat liver cytochrome P-450 MC gene
E01415cds_s_at	1620.4	P	0.000805	0.1	NC	0.500000	E01415cds cDNA encoding rat glutathione S transferase
E03344cds_s_at	65.7	M	0.043968	0.7	NC	0.500000	E03344cds cDNA sequence of peroxisome forming factor
J00716mRNA_f_at	56.6	A	0.561639	0.8	NC	0.500000	J00716mRNA RATCRYGEA Rat gamma-E-crystallin (gamma 3-1) mRNA, complete cds
J00717mRNA_s_at	7.5	A	0.983000	-0.2	NC	0.411228	J00717mRNA RATCRYGC Rat lens gamma-C-crystallin (gamma 2-1) mRNA, complete cds
J00728cds_f_at	26.6	A	0.939581	-0.3	NC	0.313422	J00728cds RATCYPE9 Rat cytochrome P-450e (phenobarbital-inducible) gene, exon 9
J01435cds#8_s_at	20516.5	P	0.000219	0.6	I	0.000001	J01435cds#8 RATMTCYOS Rattus norvegicus mitochondrial cytochrome oxidase subunits I,II, III genes, ATPase subunit 6 gene, Trp-,Ala-,Asn-,Cys-. Tyr-, Ser(ucn)-, Asp-, Lys-, Gly-, Arg-, His-, Ser(agy)-, Leu(cun)-tRNAs
J01436cds_s_at	12417.2	P	0.000219	0.5	I	0.000000	J01436cds RATMTCYBT Rattus norvegicus mitochondrial cytochrome B gene; Pro-, Thr-, Glu-tRNA genes; and URF6
J02612mRNA_s_at	100.3	A	0.060419	0.5	NC	0.500000	J02612mRNA RATUDPGT Rat UDP-glucuronosyltransferase mRNA, complete cds
J02722cds_at	11.8	A	0.660442	-0.6	NC	0.500000	J02722cds RATHOXA Rat heme oxygenase gene, complete cds
J02776_s_at	41.2	A	0.117160	-0.4	NC	0.500000	J02776 RATPOLB1 Rat DNA polmerase beta mRNA, complete cds
J02810mRNA_s_at	1333.8	P	0.000805	0.2	NC	0.095280	J02810mRNA RATGSTYBX Rat prostate glutathione S-transferase mRNA, complete cds
J02844_s_at	114.8	P	0.024711	-0.0	NC	0.500000	J02844 RATCOTA Rat carnitine octanoyltransferase mRNA, complete cds
J02861mRNA_s_at	27.4	A	0.602023	-0.6	NC	0.919605	J02861mRNA RATP45GMS Rat polymorphic, male-specific cytochrome P-450g mRNA, complete cds
J02869mRNA_s_at	13.3	A	0.892699	-0.1	NC	0.477632	J02869mRNA RATCY2DC Rat cytochrome P-450 IID5 mRNA, complete cds
J03481mRNA_at	512.0	P	0.000219	0.3	I	0.002375	J03481mRNA RATDTR Rat dihydropteridine reductase mRNA, complete cds
J03481mRNA_g_at	1187.0	P	0.000219	-0.1	NC	0.500000	J03481mRNA RATDTR Rat dihydropteridine reductase mRNA, complete cds
J03786_s_at	3.0	A	0.945530	0.1	NC	0.425834	J03786 RATCY45FS Rat cytochrome P-450 (female-specific and growth hormone-inducible) mRNA, complete cds
J03914cds_s_at	135.9	P	0.009985	-0.1	NC	0.500000	J03914cds RATGSTYD Rat glutathione S-transferase Yb subunit gene, complete cds
J04791_s_at	162.5	P	0.014937	0.9	NC	0.440543	J04791 RATODCAB Rattus norvegicus ornithine decarboxylase (ODC) mRNA, complete cds
J05029_s_at	99.5	P	0.006532	-0.1	NC	0.500000	J05029 RATACOADA Rat long chain acyl-CoA dehydrogenase (LCAD) mRNA, complete cds
J05035_at	141.8	A	0.098054	0.1	NC	0.500000	J05035 RATS5ALPHA Rat steroid 5 alpha-reductase mRNA, complete cds
J05035_g_at	173.0	A	0.138765	-0.3	NC	0.500000	J05035 RATS5ALPHA Rat steroid 5 alpha-reductase mRNA, complete cds
J05156_s_at	45.5	A	0.541184	1.2	NC	0.500000	J05156 RATCSCCE R.norvegicus cholesterol side-chain cleavage enzyme mRNA (P450SCC), complete cds
J05405mRNA_s_at	136.3	M	0.043968	0.2	NC	0.500000	J05405mRNA RATHO2 Rat heme oxygenase-2 (HO2) mRNA, complete cds
J05425cds_s_at	5488.0	P	0.000219	0.2	NC	0.108577	J05425cds RATCOXIVA Rat cytochrome c oxidase subunit IV (COXIV) gene, complete cds
J05460_s_at	23.8	A	0.939581	-0.3	NC	0.500000	J05460 RATCHOL7H Rat cholesterol 7-alpha-hydroxylase mRNA, complete cds
K00136mRNA_at	6.9	A	0.990015	-0.4	NC	0.860937	K00136mRNA RATGST1YA Rat liver glutathione S-transferase Ya subunit, clones pGTR112 and pGTB38
K00750exon#2-3_at	276.1	P	0.000219	-0.3	D	0.999747	K00750exon#2-3 RATCYC Rat (Sprague-Dawley) cytochrome c nuclear-encoded mitochondrial gene and flanks
K00750exon#2-3_g_at	1371.5	P	0.000468	-0.1	NC	0.500000	K00750exon#2-3 RATCYC Rat (Sprague-Dawley) cytochrome c nuclear-encoded mitochondrial gene and flanks
K00996mRNA_s_at	289.2	A	0.250724	-0.5	NC	0.865038	K00996mRNA RATCYP45E Rat cytochrome p-450e (phenobarbital-induced) mRNA, 3  end
